smiles,sa_score,m,sigma,epsilon_k,distance,is_associating,vapor_pressure_Pa,liquid_density_mol_m3,vp_ratio_to_ref,rho_ratio_to_ref,property_distance,H_Pa,phi_inf,P_sat_solvent_Pa,H_ratio,tanimoto_to_nearest_train,epsilon_k_tree_std,H_eps_plus,H_eps_minus,H_sensitivity_pct,H_kij_plus,H_kij_minus,H_kij_sensitivity_pct
F/C(=C/CCl)C(F)(F)F,3.540626608624158,3.9572852,3.2388693000000006,211.80215160000003,0.8260977050796839,False,16205.125833583605,9284.743038406948,0.9973360499553552,0.8545183765741112,0.1455060115063033,40483.90017416719,2.0054985674763905,20186.45180340862,0.7834183519729827,0.47619047619047616,,30381.805423765956,66639.91943272446,74.7422581129941,216198.83148592347,24735.134994843476,158.93458219089584
C/C(=C\C(F)F)C(F)(F)Cl,3.7949789820601296,3.931224999999999,3.643690699999999,206.34862779999995,0.8265221870369547,False,16832.803771306644,6486.17250649046,1.0359661625185963,0.5969528265347492,0.4046487228259123,45424.77594653854,2.250260540530865,20186.45180340862,0.8790309964623183,0.30434782608695654,,31153.816220793786,93259.74768373417,99.83787862648,578971.6199013455,24529.759825503214,183.74170422834447
C/C(=C/C(F)F)C(F)(F)Cl,3.7949789820601296,3.931224999999999,3.643690699999999,206.34862779999995,0.8265221870369547,False,16832.803771306644,6486.17250649046,1.0359661625185963,0.5969528265347492,0.4046487228259123,45424.77594653854,2.250260540530865,20186.45180340862,0.8790309964623183,0.30434782608695654,,31153.816220793786,93259.74768373417,99.83787862648,578971.6199013455,24529.759825503214,183.74170422834447
C=C(F)CC(F)(F)[C@H](F)Cl,4.301922437594873,3.991784100000001,3.5686492,212.47722,0.8269362650624728,False,10794.16155383338,6897.7485285927105,0.6643210646578163,0.6348320950065657,0.4960120426660585,33476.88292779158,1.6583837146723714,20186.45180340862,0.6478230689151351,0.36363636363636365,,26562.062834959208,51717.68853887264,64.27109249180039,164067.13067706316,22792.42172693437,151.20951231295624
C=C(F)CC(F)(F)[C@@H](F)Cl,4.301922437594873,3.991784100000001,3.5686492,212.47722,0.8269362650624728,False,10794.16155383338,6897.7485285927105,0.6643210646578163,0.6348320950065657,0.4960120426660585,33476.88292779158,1.6583837146723714,20186.45180340862,0.6478230689151351,0.36363636363636365,,26562.062834959208,51717.68853887264,64.27109249180039,164067.13067706316,22792.42172693437,151.20951231295624
FC/C=C(\F)C(F)(F)Cl,4.013472762470312,3.917884099999999,3.2634902,207.3841121,0.8269414959767343,False,22592.49639739007,9073.946818229448,1.3904434527072609,0.8351178134019352,0.423830420356215,51720.469735482024,2.5621377267870655,20186.45180340862,1.0008612062850335,0.3333333333333333,,35015.12407133089,102081.35275788298,97.83800464850596,477474.16439877544,26667.851700992647,178.8410004726008
FC/C=C(/F)C(F)(F)Cl,4.013472762470312,3.917884099999999,3.2634902,207.3841121,0.8269414959767343,False,22592.49639739007,9073.946818229448,1.3904434527072609,0.8351178134019352,0.423830420356215,51720.469735482024,2.5621377267870655,20186.45180340862,1.0008612062850335,0.3333333333333333,,35015.12407133089,102081.35275788298,97.83800464850596,477474.16439877544,26667.851700992647,178.8410004726008
C=C(C[C@H](F)Cl)C(F)(F)F,4.184847437594872,4.004318,3.5798424,213.6023774999999,0.8275147815506847,False,9693.91019180786,6829.211763189178,0.596606666224301,0.6285243355708973,0.548379750718164,31863.255140749905,1.5784475375394884,20186.45180340862,0.616597183657453,0.38095238095238093,,25836.48364410043,47322.56713459958,58.73800510477576,137597.91092621733,22486.713495199252,143.81293374933037
C=C(C[C@@H](F)Cl)C(F)(F)F,4.184847437594872,4.004318,3.5798424,213.6023774999999,0.8275147815506847,False,9693.91019180786,6829.211763189178,0.596606666224301,0.6285243355708973,0.548379750718164,31863.255140749905,1.5784475375394884,20186.45180340862,0.616597183657453,0.38095238095238093,,25836.48364410043,47322.56713459958,58.73800510477576,137597.91092621733,22486.713495199252,143.81293374933037
F/C(=C\Cl)[C@H](F)C(F)(F)F,4.37903974528718,3.9915007,3.3827607999999985,213.36372029999995,0.8277560447095097,False,11988.329268321164,8112.856688134637,0.7378154962088046,0.7466641885344741,0.3645816059528124,34608.727486127245,1.714453229481534,20186.45180340862,0.6697257955488384,0.391304347826087,,27404.529119203376,52662.2773713826,63.091683955570176,151626.94659114064,23297.96012694945,146.72465902297935
