smiles,m,sigma,epsilon_k
CC[Ge](CC)(CC)CC,4.020474284975949,4.00633986672664,257.0307601641201
CCC[Ge](CCC)(CCC)CCC,6.091599207422163,3.856672774325699,237.45470301774537
CCCC[Ge](CCCC)(CCCC)CCCC,7.3294899238029005,3.931830919576451,239.18010131386836
C=C/C=C/CC,3.1342729761381345,3.622631361115551,238.65214135711807
C=CC/C=C/C,2.789544328256726,3.781678764335408,249.0359840534464
C/C=C/C=C/C,2.882734149212296,3.7320346235827255,258.4668308062985
C=C/C=C\C=C,2.6581189692369485,3.708964791824698,273.12403441578147
C1=CCCC=C1,2.4396555525651946,3.723362463208865,287.59889231678574
C1=CCC=CC1,2.697322812253842,3.5858065987121344,278.905576247427
O=C1CCCN1,5.456960337721035,2.718953679946304,287.8113107876398
C=CCCCCCCC,4.184105310975172,3.80377781499051,243.22941171051036
CC=NO,1.6631221575955994,3.760932764738242,318.68954399521886
CCCCSC,3.2435957184221396,3.710191428803424,269.99594848212854
CSC(C)(C)C,2.9134945802800587,3.851582486632189,267.3015138202343
CCC(C)CCO,3.1410073892395474,3.81305387856203,259.4133970633329
CCCCCC(=O)O,5.256518794045729,3.223087747198401,245.7926628487866
CCCCCCCC(=O)O,8.700537006534251,2.9034425538906636,216.35866844546575
C/C=C(/C)CC,3.044707566540039,3.7015959969164607,240.58165499812569
C/C=C(\C)CC,2.9246289227345783,3.755200559140195,243.80761188686188
C=C(C)C(C)C,2.912489769638745,3.769828056488351,234.5194366082664
C=CC(C)(C)C,2.664799764479684,3.9137886368327295,234.13977336699145
CCSC,2.625404161343514,3.548226140201921,265.6486238686549
C=C[Si](OCC)(OCC)OCC,5.720536077326255,3.6272034650164446,213.45089239594543
CCCCCCCCC#N,4.218711509559761,3.841370062551886,289.70498767927177
CCOCCOCCO,3.90080757373579,3.672151400541044,282.0794878907162
CC(=O)OCc1ccccc1,4.16530241477531,3.6328764917651704,292.3619984898829
C1CCC(NC2CCCCC2)CC1,4.531962640227373,3.957859161247014,294.4689019509724
SS,2.755198522936561,2.897301506667024,257.7278604613456
CC(C)(C)Cl,2.3415824473236393,3.904780848513101,264.81688290891975
Cc1cccnc1C,3.3431479094566563,3.5983860695037087,294.81642906161153
Fc1ccc(F)cc1,2.9797054901831195,3.512271111289735,262.5129550065874
Ic1ccccc1,2.726962089536899,3.8728528226799135,353.43384686486024
Clc1cccc(Cl)c1,2.937480755286384,3.7831513948448543,326.35730075168186
CC(C)C(=O)C(C)C,4.293344927561357,3.509944653548301,231.21950722392495
CCC[N+](=O)[O-],2.926293298908279,3.4717477100908143,292.5788162813988
CCCCCOCCCCC,4.84332567031248,3.8333771781603856,246.12954889557167
CCCOc1ccccc1,4.130881247055044,3.6305707865734775,275.73654274788265
CCCCOc1ccccc1,4.170963629163364,3.7712732966047366,283.85541828337045
CCC(=O)c1ccccc1,5.261191502240453,3.261789997931931,261.2361672657871
CC(O)c1ccccc1,4.229927893165823,3.4076665253145646,279.09388513592796
Nc1ccccc1Cl,2.7616328350536,3.8216905883048087,362.7251909617115
CCSC(C)(C)C,3.212737569315032,3.905944851048836,265.3187776548564
CCCSCCC,3.713189100141802,3.708377516210895,260.84935310461015
CCCCSCC,3.624186665497305,3.74267870637903,265.341663052741
CCCCSCCCC,2.403687735130714,4.686188204444609,364.1951976129691
CC(C)SSC(C)C,3.7376103206824776,3.878653797141987,279.6760095096655
CCCCCCCCS,2.7083727040579726,4.538187726671076,331.26025622725774
CCCCCCCCCCCC(=O)O,8.645343331652986,3.300875593573804,238.36338324101968
CCCCCCCCCCCCCC(=O)O,7.679349492384201,3.627372278051322,255.7719360318864
CCCCCCCCCCCCCCCC(=O)O,8.008837577320321,3.711241256578072,264.7375260102607
CCCCCCCCCCCCCCCCC(=O)O,8.553853571506638,3.69633345429467,260.19101961079275
CCCCCCCCCCCCCCCCCC(=O)O,7.878282223381836,3.884369804776985,273.9442088085076
Cc1ccc2c(C)cccc2c1,4.010765881287211,3.81974838051176,326.46355046506113
CCCCCCCC(C)=O,4.680023596227478,3.7027365051600136,257.7669815429735
Clc1cccc(Cl)c1Cl,3.34432120777434,3.733068675802653,335.55632453703515
Clc1cc(Cl)cc(Cl)c1,3.5054278549765696,3.694298007843939,318.1704745361508
CC12CCC(CC1)C(C)(C)O2,3.5888787055560187,3.996001673593212,284.08575799619075
